,sepal length,sepal width,petal length,petal width,class
39,5.1,3.4,1.5,0.2,Iris-setosa
98,5.1,2.5,3.0,1.1,Iris-versicolor
42,4.4,3.2,1.3,0.2,Iris-setosa
38,4.4,3.0,1.3,0.2,Iris-setosa
50,7.0,3.2,4.7,1.4,Iris-versicolor
40,5.0,3.5,1.3,0.3,Iris-setosa
53,5.5,2.3,4.0,1.3,Iris-versicolor
80,5.5,2.4,3.8,1.1,Iris-versicolor
52,6.9,3.1,4.9,1.5,Iris-versicolor
44,5.1,3.8,1.9,0.4,Iris-setosa
57,4.9,2.4,3.3,1.0,Iris-versicolor
7,5.0,3.4,1.5,0.2,Iris-setosa
96,5.7,2.9,4.2,1.3,Iris-versicolor
15,5.7,4.4,1.5,0.4,Iris-setosa
34,4.9,3.1,1.5,0.1,Iris-setosa
60,5.0,2.0,3.5,1.0,Iris-versicolor
26,5.0,3.4,1.6,0.4,Iris-setosa
47,4.6,3.2,1.4,0.2,Iris-setosa
2,4.7,3.2,1.3,0.2,Iris-setosa
20,5.4,3.4,1.7,0.2,Iris-setosa
5,5.4,3.9,1.7,0.4,Iris-setosa
90,5.5,2.6,4.4,1.2,Iris-versicolor
59,5.2,2.7,3.9,1.4,Iris-versicolor
45,4.8,3.0,1.4,0.3,Iris-setosa
71,6.1,2.8,4.0,1.3,Iris-versicolor
61,5.9,3.0,4.2,1.5,Iris-versicolor
13,4.3,3.0,1.1,0.1,Iris-setosa
25,5.0,3.0,1.6,0.2,Iris-setosa
56,6.3,3.3,4.7,1.6,Iris-versicolor
63,6.1,2.9,4.7,1.4,Iris-versicolor
43,5.0,3.5,1.6,0.6,Iris-setosa
76,6.8,2.8,4.8,1.4,Iris-versicolor
69,5.6,2.5,3.9,1.1,Iris-versicolor
87,6.3,2.3,4.4,1.3,Iris-versicolor
4,5.0,3.6,1.4,0.2,Iris-setosa
93,5.0,2.3,3.3,1.0,Iris-versicolor
68,6.2,2.2,4.5,1.5,Iris-versicolor
97,6.2,2.9,4.3,1.3,Iris-versicolor
30,4.8,3.1,1.6,0.2,Iris-setosa
62,6.0,2.2,4.0,1.0,Iris-versicolor
32,5.2,4.1,1.5,0.1,Iris-setosa
70,5.9,3.2,4.8,1.8,Iris-versicolor
28,5.2,3.4,1.4,0.2,Iris-setosa
17,5.1,3.5,1.4,0.3,Iris-setosa
89,5.5,2.5,4.0,1.3,Iris-versicolor
99,5.7,2.8,4.1,1.3,Iris-versicolor
81,5.5,2.4,3.7,1.0,Iris-versicolor
49,5.0,3.3,1.4,0.2,Iris-setosa
73,6.1,2.8,4.7,1.2,Iris-versicolor
31,5.4,3.4,1.5,0.4,Iris-setosa
67,5.8,2.7,4.1,1.0,Iris-versicolor
37,4.9,3.1,1.5,0.1,Iris-setosa
21,5.1,3.7,1.5,0.4,Iris-setosa
74,6.4,2.9,4.3,1.3,Iris-versicolor
79,5.7,2.6,3.5,1.0,Iris-versicolor
75,6.6,3.0,4.4,1.4,Iris-versicolor
46,5.1,3.8,1.6,0.2,Iris-setosa
12,4.8,3.0,1.4,0.1,Iris-setosa
22,4.6,3.6,1.0,0.2,Iris-setosa
82,5.8,2.7,3.9,1.2,Iris-versicolor
86,6.7,3.1,4.7,1.5,Iris-versicolor
18,5.7,3.8,1.7,0.3,Iris-setosa
51,6.4,3.2,4.5,1.5,Iris-versicolor
94,5.6,2.7,4.2,1.3,Iris-versicolor
11,4.8,3.4,1.6,0.2,Iris-setosa
72,6.3,2.5,4.9,1.5,Iris-versicolor
8,4.4,2.9,1.4,0.2,Iris-setosa
78,6.0,2.9,4.5,1.5,Iris-versicolor
83,6.0,2.7,5.1,1.6,Iris-versicolor
1,4.9,3.0,1.4,0.2,Iris-setosa
0,5.1,3.5,1.4,0.2,Iris-setosa
10,5.4,3.7,1.5,0.2,Iris-setosa
95,5.7,3.0,4.2,1.2,Iris-versicolor
19,5.1,3.8,1.5,0.3,Iris-setosa
27,5.2,3.5,1.5,0.2,Iris-setosa
66,5.6,3.0,4.5,1.5,Iris-versicolor
16,5.4,3.9,1.3,0.4,Iris-setosa
41,4.5,2.3,1.3,0.3,Iris-setosa
24,4.8,3.4,1.9,0.2,Iris-setosa
23,5.1,3.3,1.7,0.5,Iris-setosa
36,5.5,3.5,1.3,0.2,Iris-setosa
33,5.5,4.2,1.4,0.2,Iris-setosa
3,4.6,3.1,1.5,0.2,Iris-setosa
35,5.0,3.2,1.2,0.2,Iris-setosa
65,6.7,3.1,4.4,1.4,Iris-versicolor
88,5.6,3.0,4.1,1.3,Iris-versicolor
77,6.7,3.0,5.0,1.7,Iris-versicolor
64,5.6,2.9,3.6,1.3,Iris-versicolor
85,6.0,3.4,4.5,1.6,Iris-versicolor
84,5.4,3.0,4.5,1.5,Iris-versicolor
58,6.6,2.9,4.6,1.3,Iris-versicolor
55,5.7,2.8,4.5,1.3,Iris-versicolor
92,5.8,2.6,4.0,1.2,Iris-versicolor
14,5.8,4.0,1.2,0.2,Iris-setosa
9,4.9,3.1,1.5,0.1,Iris-setosa
6,4.6,3.4,1.4,0.3,Iris-setosa
29,4.7,3.2,1.6,0.2,Iris-setosa
48,5.3,3.7,1.5,0.2,Iris-setosa
54,6.5,2.8,4.6,1.5,Iris-versicolor
91,6.1,3.0,4.6,1.4,Iris-versicolor
